temperature,humidity,pressure,wind_speed,sensor_1,sensor_2,sensor_3,sensor_4
28.35,43,1006,23,99.04,398.78,829.38,-26.9
24.44,54,1005,7,52.16,412.0,622.16,32.88
22.4,70,1017,16,56.54,68.51,988.02,22.96
26.75,41,1025,24,46.98,104.34,918.71,-40.37
38.86,51,999,10,46.18,282.92,605.48,-5.61
26.46,72,1020,19,42.45,374.18,484.91,44.38
30.38,85,1005,14,84.82,169.75,736.48,-5.59
34.06,89,1028,21,83.6,142.53,576.76,-29.41
27.27,59,1011,20,29.84,447.37,428.8,26.85
39.44,41,1018,8,11.32,3.76,320.3,-19.56
39.25,78,1015,9,43.25,392.64,819.21,-5.97
25.04,40,1012,14,15.23,230.03,798.01,-14.16
29.94,59,1000,5,34.86,334.49,733.96,-18.92
26.02,63,999,23,81.27,179.13,378.66,8.12
25.7,53,1024,16,29.88,471.97,439.35,26.52
20.74,88,1026,8,58.27,83.09,526.86,-23.85
32.19,76,1014,7,75.52,399.09,486.57,15.08
30.05,80,1029,16,75.81,324.04,847.48,26.56
21.03,68,1017,14,95.54,273.99,956.42,25.98
25.57,60,1002,8,36.53,469.09,913.23,0.41
38.17,71,1028,19,38.44,477.66,150.33,-38.23
24.79,77,1025,6,73.14,192.84,564.19,-8.04
22.9,62,1004,11,20.19,9.36,411.1,31.39
29.79,68,991,15,42.42,432.99,523.51,1.49
39.71,53,1020,18,25.72,307.45,820.11,43.2
24.84,46,1005,24,73.03,32.49,888.46,-30.1
33.44,62,1017,6,36.11,282.58,391.35,-40.0
35.23,56,1024,8,66.22,337.05,476.03,-23.54
24.75,73,998,14,69.74,156.39,533.99,-36.86
34.56,71,1020,6,96.52,373.35,537.98,2.23
27.36,76,1020,24,36.52,383.58,631.88,1.89
32.65,44,994,13,84.22,120.91,812.03,-0.9
32.67,81,1029,12,26.64,113.01,153.85,39.07
30.72,84,1017,10,53.72,336.78,867.12,-38.92
21.81,59,991,18,34.48,347.39,562.19,-34.44
36.71,47,1019,5,67.46,468.61,368.91,-47.71
26.42,47,1004,24,92.58,354.54,199.16,31.17
23.73,63,998,23,26.19,335.43,860.06,-8.18
20.82,64,997,12,44.43,380.09,135.66,15.04
31.82,85,1000,20,54.09,436.79,542.93,-5.14
33.55,66,1020,22,23.82,81.88,362.87,13.19
20.33,71,992,8,1.14,336.14,456.01,31.95
30.24,46,1021,18,82.91,184.17,550.29,45.31
24.53,51,1012,22,57.27,242.73,242.91,-29.08
32.9,87,990,11,44.86,362.83,492.84,-13.59
23.49,46,1005,17,68.85,22.65,643.75,35.89
33.82,84,1017,7,37.87,371.28,691.32,34.8
27.73,84,991,23,37.66,33.39,484.95,2.88
38.73,47,1023,19,76.26,149.7,739.99,-27.0
22.75,43,1015,6,41.18,36.19,544.42,-13.97
26.82,67,1024,24,87.55,185.58,935.13,-9.79
22.27,85,998,13,15.72,414.87,742.19,26.72
38.49,87,991,7,27.51,245.63,236.96,-45.96
37.55,55,990,18,36.0,315.69,725.7,-41.71
25.16,79,1018,17,47.29,275.27,582.52,31.19
33.2,73,1007,9,12.15,244.33,556.92,-34.92
36.34,66,1005,10,7.68,193.55,334.82,-20.83
31.1,65,1023,16,14.77,185.88,861.65,26.35
30.59,82,1016,23,19.56,286.95,338.02,12.25
24.84,50,1027,15,65.44,448.51,488.27,21.11
21.86,40,993,17,77.87,342.66,619.64,1.62
37.94,60,998,15,59.44,161.01,883.88,34.42
38.01,71,995,6,92.63,286.74,451.92,15.48
32.66,50,1005,10,39.25,471.5,882.35,12.32
26.78,62,995,11,77.38,232.48,238.09,39.22
26.98,43,998,24,84.09,93.26,539.05,-7.07
34.52,41,1012,9,37.66,348.94,527.43,-8.86
37.94,59,993,15,30.67,276.35,706.93,38.83
37.74,67,1010,7,30.64,226.1,136.37,-49.77
35.6,48,1014,13,88.29,355.14,225.32,49.78
32.84,82,1008,18,4.16,58.84,273.39,-0.99
21.68,44,1022,23,96.43,413.75,105.67,2.69
23.23,49,1021,13,49.21,206.37,543.45,28.87
37.97,48,1022,19,85.53,35.35,125.75,4.56
32.13,42,1007,14,91.51,87.9,123.51,27.5
20.18,70,1022,13,99.77,357.93,972.72,-12.12
22.03,74,1013,5,1.13,306.51,783.34,0.59
33.27,43,1003,13,54.57,15.31,717.32,-1.58
20.1,46,1028,23,81.62,55.45,858.86,-8.98
23.22,55,1012,11,43.83,78.33,176.35,-3.08
30.97,55,1011,22,61.36,141.79,820.55,11.8
33.84,67,995,15,4.63,347.98,764.63,-25.97
33.04,78,1029,24,26.42,123.62,667.62,40.74
24.49,89,1006,7,53.1,301.24,574.01,35.91
34.24,52,997,21,49.15,487.83,558.22,-6.45
24.74,83,1011,6,76.25,20.93,929.23,-36.68
26.51,59,1005,9,10.03,90.29,832.54,10.53
34.93,84,1005,9,8.47,7.5,797.93,39.54
32.99,43,1029,7,17.85,479.1,208.57,11.29
36.98,63,1012,17,21.62,127.45,831.48,29.74
33.15,71,1002,6,4.97,251.31,330.95,-20.71
31.37,61,1021,15,7.84,275.81,604.62,46.14
21.87,83,1029,12,12.47,382.97,683.14,21.23
27.35,44,1016,9,1.15,276.57,266.93,-14.93
25.3,73,1010,9,89.35,288.86,137.62,-16.38
24.88,79,992,13,24.81,280.86,374.14,16.75
39.46,71,1010,5,17.36,477.51,932.22,-44.57
27.86,63,1016,19,82.87,409.56,757.62,-43.18
37.84,76,1004,16,95.43,132.54,958.63,-16.4
32.62,47,1024,17,69.23,492.3,581.04,-4.92
35.9,86,1027,23,20.8,469.41,422.56,4.99
30.05,57,1013,24,6.35,121.71,487.78,39.51
31.54,83,1004,21,6.95,160.5,531.53,25.58
29.85,48,1000,18,5.08,138.28,438.68,16.26
23.9,41,1024,21,95.57,111.41,433.28,-37.16
34.45,40,1028,20,26.01,396.18,822.05,24.0
25.62,46,1017,13,31.23,264.1,558.29,-45.11
20.49,81,993,10,12.96,154.83,727.47,-47.2
32.91,59,1029,16,57.42,375.75,126.73,45.6
23.54,50,1016,23,3.16,315.08,928.72,12.98
38.81,59,1002,7,17.0,37.17,209.36,39.48
39.08,84,1001,19,61.31,43.23,221.97,37.18
38.3,41,1004,10,44.46,33.16,291.6,41.97
27.4,72,1004,17,50.01,24.75,463.59,11.68
20.31,61,1020,13,24.64,259.94,257.36,-12.63
38.57,67,1023,22,4.99,437.58,784.11,15.38
28.56,70,993,15,69.87,383.26,839.74,-49.47
39.33,74,1027,23,5.85,476.24,103.22,-13.03
39.27,49,1012,24,15.27,389.1,604.77,22.3
37.06,61,1016,8,44.94,77.08,941.33,-22.96
25.89,56,997,12,28.65,267.56,623.13,48.8
27.7,82,1022,7,35.65,449.53,294.7,-18.93
37.02,77,1009,6,8.72,83.67,106.3,48.15
26.34,89,1001,7,87.77,123.58,181.23,-26.43
23.39,46,991,14,0.06,137.84,591.66,33.35
31.14,76,1007,14,94.4,67.36,704.64,41.56
38.72,52,1025,16,7.14,324.02,558.13,26.08
33.92,68,993,7,78.58,18.4,807.52,43.59
31.4,65,1018,9,25.57,202.94,197.43,-20.13
21.94,42,1015,7,18.34,157.31,420.01,-15.39
32.3,78,991,8,13.91,10.21,553.74,28.1
39.8,49,1012,14,48.17,9.71,307.39,-35.59
22.8,76,1026,5,77.33,94.51,960.78,-2.34
30.37,62,1019,21,34.62,345.8,417.06,22.6
37.55,59,994,11,4.41,332.27,516.58,-38.07
34.82,73,1015,9,21.83,137.11,416.84,38.22
33.94,43,998,11,38.66,74.63,644.98,27.95
34.05,71,1004,14,19.46,65.84,263.69,2.46
27.19,84,1018,14,59.42,421.94,244.42,-18.8
25.87,81,1000,20,91.4,171.65,802.62,-43.14
36.19,57,1028,17,37.56,133.82,775.57,33.82
36.2,40,1018,22,13.92,12.42,134.89,4.89
37.34,62,1002,13,50.89,205.13,279.83,-15.3
38.26,83,1018,21,9.55,263.98,900.85,-3.26
30.23,52,1018,14,5.65,478.26,730.3,44.4
30.03,43,1008,13,72.03,255.56,235.77,-43.26
35.97,77,994,12,19.92,265.49,781.3,-32.71
33.0,48,1011,17,7.38,203.5,414.02,-37.13
34.04,76,1022,21,51.98,60.89,935.29,0.52
35.92,85,1020,11,37.36,107.02,308.22,9.3
37.8,70,1025,18,39.64,54.32,252.09,-9.09
26.76,41,1013,6,92.72,347.37,323.43,45.02
27.51,89,1025,24,31.28,108.03,553.33,-17.64
21.88,55,1008,19,39.08,383.42,115.23,-10.78
31.57,80,1010,21,17.85,307.92,439.41,-15.4
20.72,60,1008,17,81.44,6.67,956.66,-11.85
29.31,60,1002,23,43.33,404.17,554.16,42.58
30.85,41,1010,23,94.91,90.8,987.55,46.31
25.73,75,996,9,70.8,337.35,208.81,23.69
31.82,46,997,13,16.2,330.71,892.6,-11.41
20.61,54,998,18,63.82,431.91,945.41,6.81
20.75,76,1021,18,53.2,119.06,416.48,16.95
36.45,48,997,16,1.33,81.83,450.56,-20.78
27.2,40,999,17,48.43,232.76,560.7,-20.57
22.54,55,990,20,77.51,45.92,802.24,-49.62
30.44,62,1027,19,56.93,440.23,411.16,-47.73
35.4,63,1020,8,92.23,391.15,816.64,17.15
24.32,85,1019,21,76.19,147.69,683.86,-23.9
32.46,63,1004,8,89.19,461.9,692.14,5.92
21.71,49,1000,8,63.83,26.84,743.12,-47.7
21.03,78,1010,20,17.82,175.34,193.33,-40.54
30.63,87,1005,16,5.98,282.85,122.38,-9.95
30.81,50,1015,15,0.77,431.07,683.23,-41.97
32.75,69,996,5,99.43,68.26,314.53,33.38
34.52,79,1000,21,42.29,414.38,506.92,-47.64
39.52,72,1019,8,72.04,195.1,500.58,19.34
30.33,46,1023,13,42.18,248.18,111.63,20.78
26.46,45,1021,9,10.43,429.27,521.9,23.15
35.9,82,1007,7,45.67,277.16,240.24,6.55
25.42,89,1020,12,70.16,241.14,154.68,-44.75
28.78,47,1016,14,72.05,167.68,700.36,-10.55
21.57,55,1019,19,82.66,206.6,657.37,22.6
20.51,88,1029,10,40.9,310.26,725.95,-15.64
39.25,60,1000,14,80.5,266.28,296.75,39.11
36.72,43,997,24,54.66,107.69,229.91,3.07
33.92,86,1003,17,18.33,70.19,639.5,19.91
28.18,66,1021,12,78.77,26.45,975.69,-10.04
23.47,74,1007,17,37.79,380.1,984.09,12.97
23.13,40,1022,16,47.83,441.96,790.3,-0.72
25.0,55,1014,13,85.61,227.98,682.3,12.77
30.98,70,1018,22,57.43,210.6,186.79,-30.35
34.29,77,1023,12,95.73,267.62,621.74,-1.34
33.2,57,1012,10,28.53,187.5,945.21,14.18
25.6,76,1018,15,82.9,396.9,818.41,-2.69
39.1,49,1012,21,50.96,331.53,306.87,-15.72
34.76,88,1024,23,7.06,86.02,212.95,37.29
31.09,62,990,15,23.96,153.11,427.91,49.41
32.23,58,1012,5,78.18,403.94,922.85,-38.54
28.39,88,1025,19,82.21,43.89,338.53,35.89
24.95,81,990,21,54.34,119.13,591.55,29.53
27.12,46,992,17,6.2,121.75,645.48,40.46
35.16,69,1001,12,63.64,38.92,159.13,-18.73
20.29,77,1007,19,63.93,46.72,580.54,-12.22
22.32,80,1023,11,42.66,358.52,585.26,5.29
20.92,82,1013,6,27.78,145.82,373.56,30.61
20.81,83,1008,22,81.33,293.57,847.24,-21.08
37.11,57,991,24,81.68,404.64,946.55,-3.84
34.07,45,1022,7,70.56,230.26,260.26,3.43
29.48,51,1011,11,85.84,36.39,250.35,21.99
21.96,50,991,5,94.79,399.35,389.44,-43.53
29.83,87,995,14,5.57,243.93,332.34,36.5
29.47,41,1009,24,29.02,353.96,303.12,22.8
23.46,67,1013,20,62.6,229.84,985.64,-15.96
28.68,57,1005,22,12.59,241.64,393.14,6.24
27.97,62,1021,20,73.1,251.94,864.28,40.54
32.32,52,991,20,97.89,291.98,536.35,17.27
32.7,83,1018,7,35.24,46.93,956.46,-28.56
20.91,59,1022,20,26.15,178.2,914.3,-23.26
27.49,63,1008,22,89.68,360.74,936.08,-45.18
32.52,52,999,7,53.55,246.52,268.8,-43.6
30.06,66,1028,18,67.96,219.67,874.85,-10.68
37.13,54,1017,14,84.29,32.73,487.35,15.74
33.17,60,994,22,64.97,317.38,539.52,10.61
23.26,78,1011,7,57.49,176.65,295.44,-41.59
21.41,41,1008,7,93.88,279.71,353.42,-22.62
32.85,49,993,20,8.65,170.78,498.24,-31.62
20.53,57,1009,18,92.91,448.89,792.52,3.17
31.72,76,1029,11,22.62,339.14,690.48,37.27
38.8,87,998,8,0.27,283.52,186.77,3.11
31.51,48,1009,10,32.57,450.68,843.86,-25.23
27.76,51,1007,19,31.98,69.65,786.79,27.07
32.87,57,1019,15,41.48,350.09,503.3,-28.3
29.17,84,1016,16,77.69,25.93,939.33,25.34
30.91,42,1016,22,52.54,209.14,642.58,41.11
38.83,59,1003,15,19.92,192.28,764.15,49.12
27.72,74,1014,15,5.84,358.33,687.56,35.27
39.22,69,1012,5,5.58,354.58,664.72,43.04
38.11,42,1024,12,51.87,406.82,837.48,18.16
23.92,54,995,24,27.93,228.54,114.57,39.61
21.39,57,999,21,11.29,333.85,938.14,-5.19
22.02,74,990,10,39.7,340.44,200.32,-38.21
20.36,49,1009,15,28.52,111.88,556.17,-32.73
21.89,82,992,9,19.32,224.24,164.64,37.36
33.66,79,1014,23,93.97,367.4,916.7,-31.41
21.42,47,1028,12,75.95,70.32,836.64,-28.5
26.38,81,1009,14,59.82,204.27,298.11,5.66
36.9,67,1025,13,5.69,273.76,864.3,45.9
20.47,72,1021,11,85.67,220.38,562.95,30.78
36.29,56,1004,7,86.12,200.48,199.22,-18.23
25.64,52,1028,5,23.81,343.11,254.15,-13.62
22.36,78,990,17,69.39,186.14,829.81,32.61
33.93,58,1028,13,66.03,342.92,937.86,-7.9
32.58,85,1017,20,14.63,346.01,209.59,28.92
37.55,78,1018,22,19.35,494.62,396.85,-48.32
34.7,88,1021,16,71.91,44.3,347.6,-23.16
36.07,54,990,14,80.63,316.86,503.0,-18.0
25.64,76,997,10,38.34,97.37,956.42,38.69
23.55,50,1023,18,60.19,257.69,800.72,4.14
35.01,72,992,11,82.25,322.98,575.07,44.07
36.14,51,1028,23,78.05,433.77,694.04,5.62
39.81,55,1014,8,81.14,334.29,204.73,3.56
28.25,40,999,10,20.95,426.22,943.56,25.01
27.44,61,1005,8,29.01,347.23,255.99,32.87
35.53,56,1002,6,6.08,357.62,193.08,-46.83
26.82,87,999,24,61.96,294.88,959.63,-25.01
38.62,86,1022,17,61.46,321.17,761.59,-24.18
37.17,58,1028,17,13.7,460.24,951.97,34.71
28.58,41,995,18,72.08,55.0,960.69,-48.61
35.02,55,994,5,82.56,390.0,250.26,-1.27
35.09,78,990,16,18.59,437.18,347.37,-34.2
22.06,60,1028,11,7.97,330.69,314.28,17.52
38.05,84,1017,16,62.62,132.41,407.83,14.67
30.11,40,993,24,90.76,164.91,372.22,-32.56
36.53,62,1023,22,7.09,46.64,986.9,-47.36
26.4,81,1026,17,80.87,409.86,807.69,-44.91
37.91,62,991,24,83.06,426.0,353.43,49.58
27.78,49,1017,12,52.28,140.82,484.29,-23.79
20.22,59,992,19,35.49,306.94,591.09,22.9
38.11,51,1015,9,76.08,204.18,738.03,44.59
21.83,70,997,5,55.79,49.13,637.32,22.98
26.39,80,1012,12,11.0,151.96,228.7,0.2
39.0,53,1008,16,6.22,129.03,156.09,25.32
39.01,45,1029,10,40.96,351.15,940.74,46.3
31.47,76,992,9,46.94,52.51,455.51,5.94
32.64,83,1016,24,70.29,169.22,122.64,3.24
28.97,65,1002,22,60.5,382.43,770.37,-36.22
25.86,54,1029,5,86.38,331.98,498.86,-44.02
26.57,41,1025,10,74.89,262.97,398.47,3.56
33.45,40,1018,21,12.08,467.67,706.59,-20.2
35.05,62,1023,9,6.32,428.56,848.33,17.32
35.83,42,990,12,41.1,79.12,307.45,35.48
35.79,42,1004,21,93.8,376.13,579.14,-44.38
21.82,68,1007,17,85.52,333.49,786.89,-25.4
29.89,61,999,22,80.06,428.37,909.31,8.82
21.15,53,995,12,55.26,34.76,880.65,46.81
30.99,51,1000,11,27.99,101.83,348.3,31.36
28.83,55,1010,9,66.41,367.72,330.25,42.26
37.75,84,1022,10,1.13,486.92,400.36,2.87
27.02,71,1002,17,50.01,433.6,906.69,10.88
22.34,43,1028,16,8.85,322.56,608.43,42.54
22.86,45,999,13,49.12,364.91,604.24,-36.49
35.23,76,1003,9,56.67,80.39,225.45,-34.3
32.36,77,1006,12,94.95,301.22,806.12,37.29
22.02,61,1003,7,45.08,396.29,754.35,-46.64
21.68,78,990,11,25.01,355.91,808.8,4.84
34.02,59,1011,18,32.46,276.39,383.29,-28.27
21.46,47,1014,12,37.82,275.2,958.94,43.0
36.44,66,1001,14,28.53,406.21,362.01,-40.06
34.12,63,1024,13,91.13,95.54,812.11,30.92
21.63,66,1002,7,2.98,302.22,693.15,19.57
21.7,59,1003,22,3.56,253.43,776.6,-8.15
39.73,81,1016,19,11.72,263.33,962.31,26.73
27.49,49,1026,10,36.77,281.98,301.8,19.03
27.41,59,1004,14,47.71,244.09,495.27,-31.14
36.26,50,1005,23,26.41,4.45,332.54,24.57
38.94,40,1021,11,39.32,447.16,935.05,-4.56
39.72,89,1018,23,39.99,143.86,694.22,-37.78
35.07,64,993,8,54.72,255.06,400.11,-48.97
27.53,82,1000,12,29.13,62.87,253.44,-20.16
21.67,51,1019,21,6.28,109.69,508.71,-34.68
35.54,49,1007,11,74.82,11.16,630.93,11.03
31.17,56,1015,13,73.32,29.1,873.06,-14.34
28.48,45,1019,8,20.61,236.91,276.21,39.97
38.13,53,1011,18,94.84,397.94,749.94,-32.47
22.22,57,1006,11,54.02,48.74,781.62,-5.43
29.85,74,1018,12,77.52,256.6,300.59,-15.37
20.23,65,1013,13,96.47,260.75,620.64,-29.64
29.37,46,1004,23,0.19,402.11,812.92,34.92
21.13,81,1018,18,31.93,303.52,139.67,26.78
22.38,51,1014,19,51.61,46.27,885.27,-33.64
22.35,47,999,14,23.48,243.61,205.31,19.66
32.98,52,1011,10,59.21,40.53,456.34,30.88
34.92,63,1009,12,21.78,390.67,160.66,31.11
31.67,70,1003,24,66.15,373.74,409.7,6.56
39.24,43,1002,16,23.12,134.92,533.08,34.86
27.5,53,1003,9,89.12,449.23,898.88,15.93
25.71,79,1022,18,37.48,242.02,889.47,-40.6
37.37,42,1018,22,84.4,15.33,684.35,-12.35
24.47,76,1020,6,51.79,403.98,553.91,-16.17
39.26,40,990,18,36.79,296.75,760.71,-1.18
20.24,70,1019,12,79.99,287.42,915.0,39.39
39.4,68,1015,14,99.03,295.46,518.4,49.18
20.86,51,1015,18,20.44,209.28,443.1,-24.3
37.82,44,1026,16,73.6,365.35,402.52,26.21
30.55,52,998,23,65.92,72.86,389.83,48.45
39.86,46,1001,10,88.7,205.12,947.76,9.22
21.48,61,1014,24,88.19,488.6,285.66,27.92
31.08,81,993,21,62.98,244.0,368.31,-47.55
39.39,89,995,10,31.0,402.11,155.2,-2.96
30.46,76,1019,16,40.57,265.94,560.85,0.47
32.59,83,1013,9,96.23,433.54,243.72,37.82
33.91,50,1014,20,76.27,484.61,848.72,37.96
29.09,58,1019,5,37.02,50.56,155.64,13.81
32.55,48,998,13,42.55,346.92,331.21,-26.26
31.69,50,1001,11,6.44,341.6,142.87,-25.23
38.02,83,1015,5,76.97,361.5,715.97,3.72
20.91,46,997,16,35.55,422.97,425.32,34.25
25.62,71,1008,18,95.66,368.04,554.87,-32.44
39.01,60,1022,8,7.6,184.61,297.56,-48.89
37.81,46,993,19,12.96,199.43,491.67,-31.97
29.11,68,1001,11,57.17,420.42,939.59,33.83
32.4,63,997,8,68.72,368.9,707.97,11.31
25.55,81,994,17,26.58,127.6,856.71,-33.18
23.76,63,1021,9,89.74,322.13,748.24,-5.99
29.27,79,994,19,42.38,32.98,537.01,-11.34
27.07,66,991,22,98.59,181.12,578.24,49.77
31.67,84,994,14,17.71,401.05,644.52,-37.2
21.55,45,1012,5,57.29,393.99,836.09,-46.48
39.49,46,994,18,19.09,132.29,954.79,-39.52
39.72,66,1006,16,58.23,210.79,205.39,21.2
33.96,49,1027,5,26.22,349.74,899.61,42.58
30.72,80,999,15,47.73,484.08,483.61,-16.06
26.19,42,995,19,50.98,390.64,798.71,20.33
36.28,61,1010,24,46.6,63.17,883.26,-6.23
33.69,50,1005,14,13.49,151.44,963.02,3.85
23.25,70,1020,19,13.68,324.61,139.71,26.27
38.22,81,1029,15,12.21,232.73,326.24,30.12
36.45,85,1022,8,40.15,127.53,596.97,-28.14
39.0,43,1025,9,47.32,374.91,199.49,-27.49
34.51,41,997,11,27.57,318.62,816.31,17.87
